run_id,model,dataset,dataset_name,dataset_path,request_rate,burstiness,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,seed
E20_M=1_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,1,4096,127.0.0.1,8000,2,1,float16,0
E20_M=2_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,2,4096,127.0.0.1,8000,2,1,float16,0
E20_M=4_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,4,4096,127.0.0.1,8000,2,1,float16,0
E21_M=1_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,1,4096,127.0.0.1,8000,2,1,float16,0
E21_M=2_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,2,4096,127.0.0.1,8000,2,1,float16,0
E21_M=4_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,4,4096,127.0.0.1,8000,2,1,float16,0
E22_M=1_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,0
E22_M=1_s1,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,1
E22_M=1_s2,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,2
E22_M=2_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,0
E22_M=2_s1,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,1
E22_M=2_s2,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,2
E22_M=4_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,0
E22_M=4_s1,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
E22_M=4_s2,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E23_M=1_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,0
E23_M=1_s1,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,1
E23_M=1_s2,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,2
E23_M=2_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,0
E23_M=2_s1,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,1
E23_M=2_s2,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,2
E23_M=4_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,0
E23_M=4_s1,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
E23_M=4_s2,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E24_M=1_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,0
E24_M=1_s1,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,1
E24_M=1_s2,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,2
E24_M=2_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,0
E24_M=2_s1,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,1
