run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0053_E18_APBench_high_poisson_14B_qps-2_burst-1_seed-0_mb-2,E18,APBench,high_poisson,14B,Qwen/Qwen2.5-14B,2,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0054_E18_APBench_high_poisson_14B_qps-2_burst-1_seed-0_mb-4,E18,APBench,high_poisson,14B,Qwen/Qwen2.5-14B,2,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0055_E19_Astro-QA_low_poisson_3B_qps-3_burst-1_seed-0_mb-1,E19,Astro-QA,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0056_E19_Astro-QA_low_poisson_3B_qps-3_burst-1_seed-0_mb-2,E19,Astro-QA,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0057_E19_Astro-QA_low_poisson_3B_qps-3_burst-1_seed-0_mb-4,E19,Astro-QA,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0058_E22_Astro-QA_medium_poisson_3B_qps-4_burst-1_seed-0_mb-1,E22,Astro-QA,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0059_E22_Astro-QA_medium_poisson_3B_qps-4_burst-1_seed-0_mb-2,E22,Astro-QA,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0060_E22_Astro-QA_medium_poisson_3B_qps-4_burst-1_seed-0_mb-4,E22,Astro-QA,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0061_E25_Astro-QA_high_poisson_3B_qps-6_burst-1_seed-0_mb-1,E25,Astro-QA,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0062_E25_Astro-QA_high_poisson_3B_qps-6_burst-1_seed-0_mb-2,E25,Astro-QA,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0063_E25_Astro-QA_high_poisson_3B_qps-6_burst-1_seed-0_mb-4,E25,Astro-QA,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0064_E20_Astro-QA_low_poisson_7B_qps-3_burst-1_seed-0_mb-1,E20,Astro-QA,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0065_E20_Astro-QA_low_poisson_7B_qps-3_burst-1_seed-0_mb-2,E20,Astro-QA,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0066_E20_Astro-QA_low_poisson_7B_qps-3_burst-1_seed-0_mb-4,E20,Astro-QA,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0067_E23_Astro-QA_medium_poisson_7B_qps-4_burst-1_seed-0_mb-1,E23,Astro-QA,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0068_E23_Astro-QA_medium_poisson_7B_qps-4_burst-1_seed-0_mb-2,E23,Astro-QA,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0069_E23_Astro-QA_medium_poisson_7B_qps-4_burst-1_seed-0_mb-4,E23,Astro-QA,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0070_E26_Astro-QA_high_poisson_7B_qps-6_burst-1_seed-0_mb-1,E26,Astro-QA,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0071_E26_Astro-QA_high_poisson_7B_qps-6_burst-1_seed-0_mb-2,E26,Astro-QA,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0072_E26_Astro-QA_high_poisson_7B_qps-6_burst-1_seed-0_mb-4,E26,Astro-QA,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0073_E21_Astro-QA_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-1,E21,Astro-QA,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0074_E21_Astro-QA_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-2,E21,Astro-QA,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0075_E21_Astro-QA_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-4,E21,Astro-QA,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0076_E24_Astro-QA_medium_poisson_14B_qps-3_burst-1_seed-0_mb-1,E24,Astro-QA,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0077_E24_Astro-QA_medium_poisson_14B_qps-3_burst-1_seed-0_mb-2,E24,Astro-QA,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0078_E24_Astro-QA_medium_poisson_14B_qps-3_burst-1_seed-0_mb-4,E24,Astro-QA,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0079_E27_Astro-QA_high_poisson_14B_qps-4_burst-1_seed-0_mb-1,E27,Astro-QA,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0080_E27_Astro-QA_high_poisson_14B_qps-4_burst-1_seed-0_mb-2,E27,Astro-QA,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
0081_E27_Astro-QA_high_poisson_14B_qps-4_burst-1_seed-0_mb-4,E27,Astro-QA,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,
